title,price,img,href,city,state
Samsung Galaxy Tab 3 16GB tablet,$80.00,https://images.offerup.com/39cvfGipwBrn1Zi5_NWCGL9HNU4=/300x228/06ba/06baf598b2ef46f18784bf87dfb3e9df.jpg,/item/detail/562576701/,Randolph, MA
Samsung Galaxy Tab 4 8GB tablet,$120.00,https://images.offerup.com/L40rm4posdsMnd9WqDOmwXNoN8I=/300x300/b6f8/b6f8c2bd9fd8474e919bbe7ee0d3988c.jpg,/item/detail/562569693/,Randolph, MA
Touch Screen Dell Laptop 750GB HD 8...,$280.00,https://images.offerup.com/Qs0bAOBkWM9Jm_kuP7IGPkMFx-Y=/300x287/47ad/47adf3e28527443d9424066acbdabf42.jpg,/item/detail/562554399/,Brockton, MA
iPad 2 Mini 16GB Wi-Fi,$150.00,https://images.offerup.com/5pdWfaE1SSbtywgIzB4eDlaRDCU=/300x300/42a5/42a573a67d0449d7a40bf3f05293695f.jpg,/item/detail/562547457/,Randolph, MA
iPad Air 2 64gb,$255.00,https://images.offerup.com/ggl5MiNBoW0GL7ToT4aRLmoBCxc=/300x400/d9ad/d9ad22e50bd14ed38e54ac30ad123e3c.jpg,/item/detail/562542463/,Boston, MA
Apple watch series 1 like new,$140.00,https://images.offerup.com/mw3erzf4ae-KKqvLnT4LgLsbSpE=/300x600/071e/071e8df516594c1a98c17e962ff5c4f2.jpg,/item/detail/562538422/,Quincy, MA
Brand New Universal Remote,$50.00,https://images.offerup.com/Zc6A-MoXBmnC_6nCHybpL0lcWXQ=/300x400/0a00/0a00527410d640e8aeb97ee4205e2cf7.jpg,/item/detail/562576759/,Fremont, CA
Vaper good one,$75.00,https://images.offerup.com/jSYuoE8BghNavfzBdT9jkDRR7Rw=/300x400/790c/790c969c8dff4b238270b4638355a987.jpg,/item/detail/562521255/,Marlborough, MA
CyberPowerPC,$1000.00,https://images.offerup.com/wn_H1uv3xu0SkKSwL8I3k_9zWK8=/300x400/62c9/62c93d7dcaa547b988d0a182c8bd8762.jpg,/item/detail/562516559/,Smithfield, RI
iPad 2nd generation 16GG Wi-Fi,$150.00,https://images.offerup.com/VTzJV4jck2HGl8ka9TY5RTJ_2zo=/300x533/6222/622228dca4104884ad5c20b0f4a28c53.jpg,/item/detail/562509863/,Randolph, MA
