title,price,img,href,city,state
Samsung Galaxy Note 9 and Samsung Galaxy,850,https://images.offerup.com/eS1p0ELj7c15YCqqVov3C3zmf7Y=/300x300/d1d7/d1d7470c8b824c059959c90acc4068c1.jpg,/item/detail/562606958/,Boston, MA
iPad Air 2 64gb,255,https://images.offerup.com/ggl5MiNBoW0GL7ToT4aRLmoBCxc=/300x400/d9ad/d9ad22e50bd14ed38e54ac30ad123e3c.jpg,/item/detail/562542463/,Boston, MA
150W Power Inverter,10,https://images.offerup.com/b17bETUb5ct5bGhS4yy2U38alO0=/300x400/b9d0/b9d0027954fe4adead4de2577399aedb.jpg,/item/detail/562523442/,Cambridge, MA
Samsung 128GB micro SD card new,35,https://images.offerup.com/Nx7VFW6MCB5TuWxzmfPmzHWUAL0=/300x533/8d71/8d71c4d9bc1b48e3bb1ef8b97609116c.jpg,/item/detail/562474253/,Boston, MA
iPad (6th Generation) 32gb,300,https://images.offerup.com/rl8ba2jvvVE9JMfRQl4Q6ehYXdw=/300x225/df43/df432cb7b0fd469f8b1f04c3e55643b8.jpg,/item/detail/562433663/,Boston, MA
bluetooth earphones,20,https://images.offerup.com/iScuYKzx7AKoE5tvvlCAl5YUS2g=/300x400/a4d8/a4d8476ff1da4e54baf94ae9416188fc.jpg,/item/detail/562419655/,Medford, MA
iPad Air 2 Cellular and wifi,255,https://images.offerup.com/Q_JFDeQIL8HA_1gaVJSVcsXZBCw=/300x400/494e/494ee08a74a74d49bc7b3a65c42dc0d2.jpg,/item/detail/562418378/,Cambridge, MA
Bluetooth pillow,25,https://images.offerup.com/ZDy7gGkpc-E0MRdLydSUfZ_IA90=/300x225/200c/200c2ca6754a421cb2d12d59e6b02f73.jpg,/item/detail/562383537/,Somerville, MA
Nintendo Wii U,180,https://images.offerup.com/JjKOhpdSPPaVuEHZj2x6M2jbSU4=/300x400/86ad/86ad6b8ba81d4d4295a46981e1db0c7b.jpg,/item/detail/562347849/,Brookline, MA
Apple Watch series 3,300,https://images.offerup.com/_RFIePwyTvEbgYXWbQmPVZEVXT4=/300x400/1cb4/1cb4041f374a412db05fcd804ac20731.jpg,/item/detail/562333031/,Boston, MA
iPad Air 1,180,https://images.offerup.com/sYWiJsCojU8CIRBj5zkRAYHTgFI=/300x400/3b3a/3b3a83115eeb4665bfdaabb3f14d0eba.jpg,/item/detail/562324518/,Cambridge, MA
Apple ipad air 2 64 gb,260,https://images.offerup.com/kY259Nv2iWQIz1P6C3ulTIjS_s4=/300x400/73aa/73aaef7be7074a3998faf066b9cb282e.jpg,/item/detail/562301038/,Somerville, MA
Ion bluetooth record player,90,https://images.offerup.com/5u7AEQWJfgJyzQjl35oSpKvBjo0=/300x415/9ac3/9ac3bfa5635d4d6ca92d5868c32b57fc.jpg,/item/detail/562297668/,Boston, MA
Samsung Galaxy Tablet E,120,https://images.offerup.com/wttYVfHSX4DOrLF1pBkr_nT3EmQ=/300x533/c6f8/c6f803155bc940b19304e3e99e594d72.jpg,/item/detail/562285664/,Boston, MA
Helbros Gold Plated Watch,85,https://images.offerup.com/jiM_5cyEa5y_BUoXysGTN8BOHzA=/300x400/ab4b/ab4be33b59a5408da7e74cefb2c756de.jpg,/item/detail/562216818/,Boston, MA
Apple ipad air 2 64 gb Unlocked,260,https://images.offerup.com/PVbEXjC0LM8Ul14YwBBLaNdNRJA=/300x400/b2d6/b2d65b23eb9d4fddb076bcc221b4331f.jpg,/item/detail/562193052/,Somerville, MA
Segway-Ninebot,400,https://images.offerup.com/7fCDx4CqutlcXTIeOiHnfrmgiKY=/300x441/1b3b/1b3b9a5eac0a4b3ca041d82c7cda514f.jpg,/item/detail/562587917/,Greensboro, NC
Bose Soundtouch 20,200,https://images.offerup.com/wBp9SbzExARaHRX8BbzPqHzWaKM=/300x400/e6f9/e6f958df3c0c49bb8852c83aa1e22f76.jpg,/item/detail/562099618/,Boston, MA
iPad Air 2 Cellular 16gb,255,https://images.offerup.com/vVz7-BtBTFj-EZtPlzLmFE38x-M=/300x400/b843/b8437a1a03e342cfa77def42bde1b2a4.jpg,/item/detail/562060295/,Somerville, MA
Samsung Galaxy tab A6.no scratches,150,https://images.offerup.com/wtdcTM61Jra8c5nvnl1YOViA7eo=/300x533/b531/b5315a9634cd4c9e902a8610a306100a.jpg,/item/detail/562581251/,Fresno, CA
200 GB sandisc SD card with SD card...,45,https://images.offerup.com/HGkpM8MvZui2MfDF3DQySX7GbvI=/300x400/f779/f7790e6bc3354d449df03c9f5cecc7cf.jpg,/item/detail/561957814/,Boston, MA
Iclicker 2,30,https://images.offerup.com/pt_SYSxaDxfk95HeQAYSerY36rw=/300x400/1d2c/1d2cd217cbfd4dbaa4e6ba0810dc5586.jpg,/item/detail/561889556/,Boston, MA
Speaker,1500,https://images.offerup.com/2u0ehx4rzVN6d17TwbUxNZOL9F0=/300x400/cf99/cf99a5d5fd824ef0b9b213e2326a513e.jpg,/item/detail/561844139/,Boston, MA
